resolution,metadata_column,n_clusters,minimum_cluster_size,median_cluster_size,clusters_below_ten,ari_vs_archived_scanpy,mean_pca_silhouette,technical_well_cramers_v,ari_vs_previous_resolution
0.2,seurat_clusters_res_0_2,7,86,153,0,0.48320769643952133,0.07590539156894342,0.08470137588529089,NA
0.4,seurat_clusters_res_0_4,8,86,144.5,0,0.5195267136479482,0.08165701639616403,0.08649734219872578,0.8409307672501795
0.6,seurat_clusters_res_0_6,8,90,165,0,0.5892155785056967,0.07498842213590673,0.09138514170446614,0.6920989899418309
0.8,seurat_clusters_res_0_8,10,78,138.5,0,0.4327820336003159,0.06831879709496759,0.12400782332312714,0.6651137484775991
1,seurat_clusters_res_1_0,10,78,138,0,0.43427813440876384,0.06374696319443546,0.11614135324047864,0.9452107077083058
1.2,seurat_clusters_res_1_2,11,78,139,0,0.4370104813609158,0.0669718521541084,0.11452446519628254,0.8448825719829283
1.5,seurat_clusters_res_1_5,12,2,138,1,0.42482661917900383,0.06084917889701654,0.11499052696182947,0.8918020816316149
