cluster,barcodes,fraction
7,214,0.11955307262569832
1,158,0.08826815642458101
5,340,0.18994413407821228
6,568,0.31731843575418994
4,112,0.06256983240223464
8,172,0.09608938547486033
3,136,0.07597765363128492
2,90,0.05027932960893855
