barcode,technical_well,seurat_cluster_raw,seurat_tree_cluster,seurat_cluster_legacy_res_1_5,provisional_annotation,nCount_RNA,nFeature_RNA,percent.mt,scanpy_cluster
48_15_93,D12,6,4,8,Inhibitory_neuron,392,307,0.5102040816326531,6
48_15_94,D12,4,1,4,Unresolved,2190,1354,0.365296803652968,4
48_16_14,D12,1,5,1,Unresolved,551,426,0.5444646098003629,2
48_16_17,D12,0,6,1,Unresolved,721,551,0.8321775312066574,4
48_16_56,D12,7,2,9,Inhibitory_neuron,535,390,0.7476635514018692,8
48_16_59,D12,2,7,5,Excitatory_neuron,1341,817,0.6711409395973155,3
48_16_63,D12,7,2,9,Inhibitory_neuron,479,375,0.41753653444676403,8
48_16_66,D12,7,2,9,Inhibitory_neuron,470,348,0.425531914893617,8
48_16_72,D12,3,8,3,Unresolved,1127,738,0.354924578527063,5
48_17_15,D12,3,8,3,Unresolved,537,397,0.931098696461825,5
48_17_37,D12,7,2,9,Inhibitory_neuron,858,588,0.2331002331002331,8
48_17_42,D12,2,7,5,Excitatory_neuron,1077,702,0,3
48_18_18,D12,3,8,3,Unresolved,2010,1144,0.3482587064676617,5
48_18_48,D12,1,5,2,Unresolved,978,682,0.3067484662576687,2
48_18_49,D12,0,6,1,Unresolved,603,447,2.155887230514096,6
48_18_63,D12,1,5,1,Unresolved,1244,822,0.1607717041800643,2
48_18_68,D12,1,5,7,Unresolved,1670,934,0.23952095808383234,2
48_18_77,D12,3,8,3,Unresolved,1862,1064,0.21482277121374865,5
48_18_78,D12,0,6,2,Unresolved,1013,734,1.2833168805528135,1
48_18_82,D12,1,5,7,Unresolved,723,508,0.4149377593360996,2
48_18_84,D12,1,5,1,Unresolved,648,502,2.006172839506173,2
48_19_08,D12,0,6,1,Unresolved,709,549,0.5641748942172073,1
48_19_22,D12,0,6,0,Unresolved,496,391,0.20161290322580644,1
48_19_30,D12,1,5,1,Unresolved,861,612,0.23228803716608595,2
48_19_80,D12,7,2,9,Inhibitory_neuron,885,628,0.3389830508474576,8
48_19_81,D12,0,6,0,Unresolved,673,492,0.2971768202080238,1
48_20_48,D12,0,6,0,Unresolved,455,371,0.21978021978021978,1
48_20_60,D12,2,7,5,Excitatory_neuron,736,527,0.4076086956521739,3
48_20_68,D12,0,6,0,Unresolved,424,341,0.7075471698113208,1
48_20_78,D12,5,3,6,Unresolved,1584,1010,0.8838383838383838,2
48_21_09,D12,3,8,3,Unresolved,1133,782,0.176522506619594,4
