cluster,barcodes,fraction
0,326,0.18212290502793296
1,245,0.13687150837988826
2,197,0.1100558659217877
3,170,0.09497206703910614
4,160,0.0893854748603352
5,138,0.07709497206703911
6,138,0.07709497206703911
7,131,0.07318435754189945
8,112,0.06256983240223464
9,93,0.05195530726256983
10,78,0.04357541899441341
11,2,0.0011173184357541898
