cluster,panel,genes_available,genes,mean_log_normalized_expression,mean_detection_fraction,expression_z
7,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.01446149116192225,0.0077881619937694695,-0.046227139389293445
1,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.07573599012795654,0.03164556962025317,2.3774775274099094
5,Microglia,3,Cx3cr1;P2ry12;Csf1r,0,0,-0.6182495012115505
6,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.004757027025522607,0.0017605633802816902,-0.4300859291480697
4,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.017059242343550007,0.005952380952380952,0.05652656351057751
8,Microglia,3,Cx3cr1;P2ry12;Csf1r,0,0,-0.6182495012115505
3,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.013027650438047387,0.004901960784313725,-0.10294251874847239
2,Microglia,3,Cx3cr1;P2ry12;Csf1r,0,0,-0.6182495012115505
7,Pericyte_VSMC,2,Pdgfrb;Abcc9,0.010469400880985268,0.004672897196261682,0.00913952609237278
1,Pericyte_VSMC,2,Pdgfrb;Abcc9,0.0322076467736351,0.00949367088607595,2.081783568794234
5,Pericyte_VSMC,2,Pdgfrb;Abcc9,0.007324113829106598,0.0029411764705882353,-0.29074945772245564
6,Pericyte_VSMC,2,Pdgfrb;Abcc9,0.005316981601164138,0.0017605633802816902,-0.4821204945440818
4,Pericyte_VSMC,2,Pdgfrb;Abcc9,0,0,-0.9890707928905745
8,Pericyte_VSMC,2,Pdgfrb;Abcc9,0.01073498660978624,0.005813953488372093,0.03446193165095988
3,Pericyte_VSMC,2,Pdgfrb;Abcc9,0,0,-0.9890707928905745
2,Pericyte_VSMC,2,Pdgfrb;Abcc9,0.016935222026597734,0.005555555555555556,0.6256265115101192
